Domain,Unique Similar Site,fetched_at,title,category,category_rank,total_visits
telegram.com,sentinelandenterprise.com,2024-02-12 09:35:07.454239,telegram.com,News and Media100%,1M,1M
sentinelandenterprise.com,lowellsun.com,2024-02-12 09:35:08.969847,sentinelandenterprise.com,News and Media100%,"96,983","96,983"
lowellsun.com,bostonherald.com,2024-02-12 09:35:10.514719,lowellsun.com,News and Media100%,374K,374K
bostonherald.com,usatoday.com,2024-02-12 09:35:12.125640,bostonherald.com,News and Media100%,2M,2M
usatoday.com,nytimes.com,2024-02-12 09:35:13.992228,usatoday.com,News and Media100%,173M,173M
usatoday.com,forbes.com,2024-02-12 09:35:13.992228,usatoday.com,News and Media100%,173M,173M
usatoday.com,washingtonpost.com,2024-02-12 09:35:13.992228,usatoday.com,News and Media100%,173M,173M
usatoday.com,latimes.com,2024-02-12 09:35:13.992228,usatoday.com,News and Media100%,173M,173M
usatoday.com,cbsnews.com,2024-02-12 09:35:13.992228,usatoday.com,News and Media100%,173M,173M
usatoday.com,nbcnews.com,2024-02-12 09:35:13.992228,usatoday.com,News and Media100%,173M,173M
usatoday.com,cnn.com,2024-02-12 09:35:13.992228,usatoday.com,News and Media100%,173M,173M
usatoday.com,foxnews.com,2024-02-12 09:35:13.992228,usatoday.com,News and Media100%,173M,173M
usatoday.com,nypost.com,2024-02-12 09:35:13.992228,usatoday.com,News and Media100%,173M,173M
usatoday.com,reuters.com,2024-02-12 09:35:13.992228,usatoday.com,News and Media100%,173M,173M
bostonherald.com,nbcboston.com,2024-02-12 09:35:12.125640,bostonherald.com,News and Media100%,2M,2M
nbcboston.com,bostonglobe.com,2024-02-12 09:35:15.642105,nbcboston.com,News and Media100%,2M,2M
nbcboston.com,boston25news.com,2024-02-12 09:35:15.642105,nbcboston.com,News and Media100%,2M,2M
nbcboston.com,wwlp.com,2024-02-12 09:35:15.642105,nbcboston.com,News and Media100%,2M,2M
nbcboston.com,universalhub.com,2024-02-12 09:35:15.642105,nbcboston.com,News and Media100%,2M,2M
nbcboston.com,wmur.com,2024-02-12 09:35:15.642105,nbcboston.com,News and Media100%,2M,2M
nbcboston.com,wcvb.com,2024-02-12 09:35:15.642105,nbcboston.com,News and Media100%,2M,2M
nbcboston.com,boston.com,2024-02-12 09:35:15.642105,nbcboston.com,News and Media100%,2M,2M
nbcboston.com,patriotledger.com,2024-02-12 09:35:15.642105,nbcboston.com,News and Media100%,2M,2M
bostonherald.com,miamiherald.com,2024-02-12 09:35:12.125640,bostonherald.com,News and Media100%,2M,2M
miamiherald.com,miaminewtimes.com,2024-02-12 09:35:17.291385,miamiherald.com,News and Media100%,9M,9M
miamiherald.com,tampabay.com,2024-02-12 09:35:17.291385,miamiherald.com,News and Media100%,9M,9M
miamiherald.com,latimes.com,2024-02-12 09:35:17.291385,miamiherald.com,News and Media100%,9M,9M
miamiherald.com,dallasnews.com,2024-02-12 09:35:17.291385,miamiherald.com,News and Media100%,9M,9M
miamiherald.com,sun-sentinel.com,2024-02-12 09:35:17.291385,miamiherald.com,News and Media100%,9M,9M
miamiherald.com,nbcmiami.com,2024-02-12 09:35:17.291385,miamiherald.com,News and Media100%,9M,9M
miamiherald.com,palmbeachpost.com,2024-02-12 09:35:17.291385,miamiherald.com,News and Media100%,9M,9M
miamiherald.com,washingtonpost.com,2024-02-12 09:35:17.291385,miamiherald.com,News and Media100%,9M,9M
miamiherald.com,nypost.com,2024-02-12 09:35:17.291385,miamiherald.com,News and Media100%,9M,9M
bostonherald.com,boston25news.com,2024-02-12 09:35:12.125640,bostonherald.com,News and Media100%,2M,2M
boston25news.com,capecodtimes.com,2024-02-12 09:35:19.128962,boston25news.com,News and Media100%,3M,3M
boston25news.com,bostonglobe.com,2024-02-12 09:35:19.128962,boston25news.com,News and Media100%,3M,3M
boston25news.com,wwlp.com,2024-02-12 09:35:19.128962,boston25news.com,News and Media100%,3M,3M
boston25news.com,wmur.com,2024-02-12 09:35:19.128962,boston25news.com,News and Media100%,3M,3M
boston25news.com,wcvb.com,2024-02-12 09:35:19.128962,boston25news.com,News and Media100%,3M,3M
boston25news.com,boston.com,2024-02-12 09:35:19.128962,boston25news.com,News and Media100%,3M,3M
